Ticker,,Expiration Date,,,PX_BID,1692.01,,,,,,,,,
SPX Index,,19/10/2013,,,PX_ASK,1698.05,,,,,,,,,
,,,,,,,,,,,,,,,
,,PX_BID,PX_ASK,OPT_STRIKE_PX,OPT_PUT_CALL,OPT_DAYS_EXPIRE,,,,,PX_BID,PX_ASK,OPT_STRIKE_PX,OPT_PUT_CALL,OPT_DAYS_EXPIRE
SPX US 10/19/13 C500,,1193.1,1195.6,500,Call,17,,,SPX US 10/19/13 P500,,#N/A N/A,0.05,500,Put,17
SPX US 10/19/13 C600,,1093.1,1095.6,600,Call,17,,,SPX US 10/19/13 P600,,#N/A N/A,0.05,600,Put,17
SPX US 10/19/13 C650,,1043.1,1045.6,650,Call,17,,,SPX US 10/19/13 P650,,#N/A N/A,0.05,650,Put,17
SPX US 10/19/13 C700,,993.1,995.6,700,Call,17,,,SPX US 10/19/13 P700,,#N/A N/A,0.05,700,Put,17
SPX US 10/19/13 C725,,968.1,970.6,725,Call,17,,,SPX US 10/19/13 P725,,#N/A N/A,0.05,725,Put,17
SPX US 10/19/13 C750,,943.1,945.6,750,Call,17,,,SPX US 10/19/13 P750,,#N/A N/A,0.05,750,Put,17
SPX US 10/19/13 C775,,918.1,920.6,775,Call,17,,,SPX US 10/19/13 P775,,#N/A N/A,0.05,775,Put,17
SPX US 10/19/13 C800,,893.1,895.6,800,Call,17,,,SPX US 10/19/13 P800,,#N/A N/A,0.05,800,Put,17
SPX US 10/19/13 C825,,868.1,870.6,825,Call,17,,,SPX US 10/19/13 P825,,#N/A N/A,0.05,825,Put,17
SPX US 10/19/13 C850,,843.2,845.6,850,Call,17,,,SPX US 10/19/13 P850,,#N/A N/A,0.05,850,Put,17
SPX US 10/19/13 C875,,818.2,820.6,875,Call,17,,,SPX US 10/19/13 P875,,#N/A N/A,0.05,875,Put,17
SPX US 10/19/13 C900,,793.2,795.7,900,Call,17,,,SPX US 10/19/13 P900,,#N/A N/A,0.05,900,Put,17
SPX US 10/19/13 C925,,768.2,770.7,925,Call,17,,,SPX US 10/19/13 P925,,#N/A N/A,0.05,925,Put,17
SPX US 10/19/13 C950,,743.2,745.7,950,Call,17,,,SPX US 10/19/13 P950,,#N/A N/A,0.05,950,Put,17
SPX US 10/19/13 C975,,718.2,720.7,975,Call,17,,,SPX US 10/19/13 P975,,#N/A N/A,0.05,975,Put,17
SPX US 10/19/13 C1000,,693.2,695.7,1000,Call,17,,,SPX US 10/19/13 P1000,,#N/A N/A,0.05,1000,Put,17
SPX US 10/19/13 C1025,,668.2,670.7,1025,Call,17,,,SPX US 10/19/13 P1025,,#N/A N/A,0.05,1025,Put,17
SPX US 10/19/13 C1030,,663.2,665.7,1030,Call,17,,,SPX US 10/19/13 P1030,,#N/A N/A,0.05,1030,Put,17
SPX US 10/19/13 C1040,,653.2,655.7,1040,Call,17,,,SPX US 10/19/13 P1040,,#N/A N/A,0.05,1040,Put,17
SPX US 10/19/13 C1050,,643.2,645.7,1050,Call,17,,,SPX US 10/19/13 P1050,,#N/A N/A,0.05,1050,Put,17
SPX US 10/19/13 C1060,,633.2,635.7,1060,Call,17,,,SPX US 10/19/13 P1060,,#N/A N/A,0.05,1060,Put,17
SPX US 10/19/13 C1070,,623.2,625.7,1070,Call,17,,,SPX US 10/19/13 P1070,,#N/A N/A,0.05,1070,Put,17
SPX US 10/19/13 C1075,,618.2,620.7,1075,Call,17,,,SPX US 10/19/13 P1075,,#N/A N/A,0.05,1075,Put,17
SPX US 10/19/13 C1080,,613.2,615.7,1080,Call,17,,,SPX US 10/19/13 P1080,,#N/A N/A,0.05,1080,Put,17
SPX US 10/19/13 C1090,,603.2,605.7,1090,Call,17,,,SPX US 10/19/13 P1090,,#N/A N/A,0.05,1090,Put,17
SPX US 10/19/13 C1100,,593.2,595.7,1100,Call,17,,,SPX US 10/19/13 P1100,,#N/A N/A,0.05,1100,Put,17
SPX US 10/19/13 C1105,,588.2,590.7,1105,Call,17,,,SPX US 10/19/13 P1105,,#N/A N/A,0.05,1105,Put,17
SPX US 10/19/13 C1110,,583.2,585.7,1110,Call,17,,,SPX US 10/19/13 P1110,,#N/A N/A,0.05,1110,Put,17
SPX US 10/19/13 C1115,,578.2,580.7,1115,Call,17,,,SPX US 10/19/13 P1115,,#N/A N/A,0.05,1115,Put,17
SPX US 10/19/13 C1120,,573.2,575.7,1120,Call,17,,,SPX US 10/19/13 P1120,,#N/A N/A,0.05,1120,Put,17
SPX US 10/19/13 C1125,,568.2,570.7,1125,Call,17,,,SPX US 10/19/13 P1125,,#N/A N/A,0.05,1125,Put,17
SPX US 10/19/13 C1130,,563.2,565.7,1130,Call,17,,,SPX US 10/19/13 P1130,,#N/A N/A,0.05,1130,Put,17
SPX US 10/19/13 C1135,,558.2,560.7,1135,Call,17,,,SPX US 10/19/13 P1135,,#N/A N/A,0.05,1135,Put,17
